number_records,number_subjects,reason_id,reason,time_stamp,analysis_id,target_cohort_id,target_cohort_name,database_id
2279,1924,1,"Qualifying records for cohort definitions: 1, 3",1770629053.70136,1,1,celecoxib,388020256
2155,1800,2,Removing records < minEraDuration (0),1770629054.01428,1,1,celecoxib,388020256
355,355,3,Removing events outside window (startDate: 0 | endDate: 365),1770629054.83498,1,1,celecoxib,388020256
355,355,4,splitEventCohorts,1770629055.15118,1,1,celecoxib,388020256
355,355,5,"Collapsing eras, eraCollapse (30)",1770629055.46376,1,1,celecoxib,388020256
355,355,7,After Combination,1770629055.82901,1,1,celecoxib,388020256
355,355,8,filterTreatments (First),1770629056.25017,1,1,celecoxib,388020256
355,355,10,Max path length (5),1770629056.72764,1,1,celecoxib,388020256
355,355,9,treatment construction done,1770629057.1305301,1,1,celecoxib,388020256
